tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0110204	movie	Joint Venture	Joint Venture	0	1994	\N	95	Comedy,Crime
tt0006422	short	Better Halves	Better Halves	0	1916	\N	\N	Comedy,Short
tt0011048	movie	The Challenge of the Law	The Challenge of the Law	0	1920	\N	50	Drama
tt0254775	movie	The Red Siren	La sirène rouge	0	2002	\N	118	Action,Crime,Thriller
tt0118259	tvSeries	Das Amt	Das Amt	0	1997	2003	50	Comedy
tt0017091	movie	Luis Candelas o El bandido de Madrid	Luis Candelas o El bandido de Madrid	0	1926	\N	\N	\N
tt0038292	short	Al pie de las banderas	Al pie de las banderas	0	1946	\N	11	Documentary,Short
tt0031874	movie	Romancero marroquí	Romancero marroquí	0	1939	\N	85	Documentary,War
tt0092936	movie	Dunia	Dunia	0	1987	\N	52	\N
tt0245074	short	A Deal in Bonds	A Deal in Bonds	0	1917	\N	10	Mystery,Short
tt0111269	movie	The Knickerbocker Gang: The Talking Grave	Die Knickerbocker-Bande: Das sprechende Grab	0	1995	\N	90	Family,Mystery
tt0021443	short	Swell People	Swell People	0	1930	\N	20	Comedy,Short
tt0249136	tvMovie	The Sausage Factory	The Sausage Factory	0	2003	\N	\N	Adventure,Comedy,Romance
tt0005507	short	The Home Cure	The Home Cure	0	1915	\N	\N	Comedy,Short
tt0118191	short	Senza parole	Senza parole	0	1996	\N	9	Short
tt0057595	movie	Toto and Cleopatra	Totò e Cleopatra	0	1963	\N	100	Comedy
tt0192059	movie	Le gardien du feu	Le gardien du feu	0	1924	\N	75	Drama
tt0008073	movie	Her Fighting Chance	Her Fighting Chance	0	1917	\N	50	Drama
tt0042694	movie	Lights of My City	Les lumières de ma ville	0	1950	\N	127	Musical
tt0054519	tvSeries	Ben Casey	Ben Casey	0	1961	1966	60	Drama
tt0142624	short	Looks Can Kill	Looks Can Kill	0	1994	\N	1	Animation,Short
tt0121276	movie	Feng ye qing	Feng ye qing	0	1952	\N	135	Drama,Romance,War
tt0140813	movie	Apradhi	Apradhi	0	1949	\N	\N	Crime,Drama,Thriller
tt0012871	movie	You Find It Everywhere	You Find It Everywhere	0	1921	\N	\N	Comedy,Drama
tt0125099	movie	Season Five	Fasl-e panjom	0	1997	\N	80	Comedy,Drama,Romance
tt0188130	movie	Skin and Bones	La peau et les os	0	1961	\N	85	Drama
tt0173212	short	Slovenska gotika	Slovenska gotika	0	1974	\N	\N	Documentary,Short
tt0013784	movie	A Woman's Woman	A Woman's Woman	0	1922	\N	80	Drama
tt0240636	tvMovie	Johnny Hallyday: Parc des Princes	Johnny Hallyday: Parc des Princes	0	1999	\N	181	Music
tt0019445	short	Tall Timber	Tall Timber	0	1928	\N	8	Animation,Comedy,Short
tt0160450	movie	Le sex de femme	Le sex de femme	1	1989	\N	118	Adult
tt0166269	video	McBeen in Trouble	McBeen in Trouble	1	1997	\N	\N	Adult
tt0227906	tvSeries	Hot Property	Hot Property	0	1999	2008	\N	\N
tt0259690	movie	The Truth Game	The Truth Game	0	2001	\N	90	Drama
tt0037727	movie	Gangs of the Waterfront	Gangs of the Waterfront	0	1945	\N	55	Crime,Drama
tt0114584	movie	Surreal Serial Cereal	Surreal Serial Cereal	0	1995	\N	\N	Horror
tt0132065	short	Foolshead at the Cinematograph	Cretinetti al cinematografo	0	1911	\N	\N	Comedy,Short
tt0121884	movie	Wu shi, hua dan, da liu mang	Wu shi, hua dan, da liu mang	0	1977	\N	83	Action
tt0039636	movie	Mourning Becomes Electra	Mourning Becomes Electra	0	1947	\N	159	Drama
tt0097380	movie	Fortress of Amerikkka	Fortress of Amerikkka	0	1989	\N	100	Action,Comedy
tt0248296	short	Pay the Cashier	Pay the Cashier	0	1926	\N	\N	Comedy,Short
tt0124428	video	Double Crossed	Double Crossed	1	1995	\N	83	Adult
tt0043095	movie	V mirnye dni	V mirnye dni	0	1951	\N	97	Action,Adventure,War
tt0260840	short	I Give you a Star	Daryu tebe zvezdu	0	1975	\N	8	Animation,Comedy,Short
tt0152969	short	Tell the Doc	Tell the Doc	1	1973	\N	\N	Adult,Short
tt0234569	movie	Ranchandi	Ranchandi	0	1981	\N	\N	\N
tt0027340	movie	Bedzie lepiej	Bedzie lepiej	0	1936	\N	92	Comedy,Musical,Romance
tt0079836	tvMovie	S.O.S. Titanic	S.O.S. Titanic	0	1979	\N	194	Drama,History
tt0204204	movie	Il cielo della luna	Il cielo della luna	0	1997	\N	90	\N
tt0127094	video	Pawn Shop	Pawn Shop	1	1995	\N	89	Adult
tt0043899	movie	Pandora and the Flying Dutchman	Pandora and the Flying Dutchman	0	1951	\N	124	Drama,Fantasy,Mystery
tt0001194	short	Elskovsleg	Elskovsleg	0	1910	\N	\N	Short
tt0125452	movie	Passage of the Heart	Passage of the Heart	0	1992	\N	\N	\N
tt0104146	movie	Casino Tycoon II	Do sing dai hang II: Ji juen mou dik	0	1992	\N	114	Comedy,Crime,Drama
tt0177473	movie	Come, Embrace Me	Aa Gale Lag Jaa	0	1973	\N	148	Action,Drama,Romance
tt0012500	movie	The New Disciple	The New Disciple	0	1921	\N	\N	Drama
tt0132163	short	A Flor e a Vida	A Flor e a Vida	0	1980	\N	30	Short
tt0141381	movie	Intimate Affairs	Intimate Affairs	1	1990	\N	73	Adult
tt0024933	movie	Alias Bulldog Drummond	Bulldog Jack	0	1935	\N	72	Comedy,Crime,Mystery
tt0132061	short	The Corporal's Daughter	The Corporal's Daughter	0	1915	\N	\N	Drama,Short,Western
tt0214030	short	A Race for the Gold Cup	A Race for the Gold Cup	0	1897	\N	\N	Documentary,Short,Sport
tt0170241	short	City	Miasto	0	2024	\N	14	Documentary,Short
tt0092454	tvSeries	Spies	Spies	0	1987	\N	60	Adventure,Comedy
tt0256316	short	A Real Naked Lady	A Real Naked Lady	0	1981	\N	13	Comedy,Short
tt0021809	movie	O Douro na Régua	O Douro na Régua	0	1931	\N	\N	\N
tt0250943	video	Adult Video Therapist	Adult Video Therapist	1	1987	\N	60	Adult
tt0237647	short	Rendez-vous: 10 h 30	Rendez-vous: 10 h 30	0	1985	\N	8	Animation,Short
tt0104703	movie	Legends in Concert	Legends in Concert	0	1991	\N	54	Documentary
tt0044325	movie	Abracadabra	Abracadabra	0	1952	\N	92	\N
tt0194582	movie	Zhu Lao San xiao tan	Zhu Lao San xiao tan	0	1979	\N	\N	\N
tt0057586	short	To Beep or Not to Beep	To Beep or Not to Beep	0	1963	\N	7	Animation,Comedy,Family
tt0099921	movie	Kansen	Kansen	0	1990	\N	\N	\N
tt0148252	short	Happy Go Lucky	Happy Go Lucky	0	1947	\N	7	Animation,Short
